VIN,Model,Type,Year,Brand,Dealership,Miles,BoughtPrice,InventoryStatus,ListingPrice
GL3UZ890PTXSVFO43,Veloster,Hatchback,2024,Hyundai,4,81721,15322,Sold,18021.02
P807V5CXF51GF8ZFL,Atlas,Sedan,2016,Volkswagen,3,63523,10800,Available,12143.71
01C3II1MELK5P3SOB,GT-R,Minivan,2023,Nissan,4,31896,19810,Available,25179.66
AGX9YNMFSJZ7DXOVT,R8,Coupe,2019,Audi,3,35609,16126,Sold,19513.07
SNUM1S08HBV9AJNTF,3 Series,Sedan,2015,BMW,1,18589,12935,Reserved,14623.14
8JL153HUBLI6ZN814,Golf,Minivan,2024,Volkswagen,1,111713,8935,Available,10934.6
F4CYY8YSZPL4TP2VA,Escape,Truck,2017,Ford,4,85777,6429,Sold,7127.17
65SPE4YOFXKVGUBP9,R8,Hatchback,2023,Audi,3,14038,32528,Available,43175.39
H8VSQ9C8KOO8UJ6YX,3 Series,Coupe,2016,BMW,3,86894,6679,Available,7779
XI81TJBGKCF7VAEOR,GT-R,Minivan,2023,Nissan,4,14432,24124,Available,30532.07
BC53ZNZ0YLMTAL4IK,Bronco,Coupe,2021,Ford,3,68803,11029,Sold,12991.37
ZOADN7W38E666Q9CA,R8,Truck,2016,Audi,4,13820,15452,Available,19006.22
IALDCGJ71U4WSQMCQ,GT-R,Minivan,2018,Nissan,2,32124,18743,Reserved,23179.05
S2RAWR81B50VRAAGM,AMG GT,Minivan,2018,Mercedes-Benz,3,105399,7281,Reserved,8345.58
PARDPDX3HLFQW611F,Bronco,Minivan,2023,Ford,4,73778,16451,Available,22083.76
4MZKWSC0P5HCV6VUQ,Gladiator,Truck,2023,Jeep,2,5844,23439,Reserved,30324.98
HAU7E22HF6ZUZEYLI,MX-5 Miata,Truck,2021,Mazda,1,33526,20332,Sold,27140.67
J3ICJQWI2B323CA2K,Veloster,Coupe,2019,Hyundai,3,26067,19107,Reserved,25292.07
X4ZGN4BZ5QVLMEFUN,Rogue,SUV,2024,Nissan,1,39277,22692,Sold,28353.09
Q0X1442EJZ36OAJFY,GLE,Coupe,2016,Mercedes-Benz,3,26618,15939,Sold,21206.34
778UOQ6W4MT40H3GJ,Gladiator,Sedan,2020,Jeep,1,112973,5425,Sold,6087.52
NKSKMG01U7YOSOW8P,Elantra,Sedan,2017,Hyundai,2,13289,17749,Available,20393.52
DPSR1GK6PQXZFP14A,Stinger,Minivan,2015,Kia,2,51308,10693,Reserved,11883.2
Z98YPZQOLYL87VP0A,Camaro,Minivan,2022,Chevrolet,2,73808,11304,Reserved,13353.78
0YFW2PWSFEQ9Q6CH8,Stinger,Coupe,2020,Kia,3,49829,13799,Available,16519.74
CKKWO6ODL13JE6U06,Stinger,Coupe,2021,Kia,3,110654,6539,Reserved,7636.49
BK05976V78RR4SOM9,MX-5 Miata,Truck,2022,Mazda,3,118227,6291,Available,8223.5
VOIEQMFYNTRF92EOZ,Explorer,Truck,2019,Ford,3,47331,15372,Available,18280.2
BKJYYRUXCGZMRUIHJ,CR-V,Truck,2019,Honda,3,72736,12755,Available,14926.33
T7JA0KGY0MYKYWQQE,Supra,Coupe,2020,Toyota,2,68221,14613,Sold,18056.9
INYP7DWC7TBHRKWZG,Camaro,Minivan,2018,Chevrolet,4,43420,17971,Reserved,20401.24
HXXOEJHJ59KCRGZ3L,Veloster,Hatchback,2019,Hyundai,4,36218,18198,Reserved,23667.4
ANHKYVQEY3J7SORHH,Altima,SUV,2019,Nissan,2,63998,13593,Reserved,15205.64
EQ0MNJR9XK3KOV8Q3,C-Class,SUV,2023,Mercedes-Benz,1,98565,12019,Sold,16186.25
WSPA4GE11T1WJ5ZCG,Cybertruck,Minivan,2019,Tesla,3,60193,14489,Sold,18735.16
H4QL5859M2AU9U6NN,Veloster,Coupe,2020,Hyundai,3,49744,17634,Sold,20273.44
8NVJQ71BR9GMB1NXN,Sentra,Truck,2022,Nissan,4,109400,8048,Sold,8863.91
V8B91XWYWCUHXVLQE,NSX,Hatchback,2017,Honda,2,7542,13553,Reserved,17671.29
FULZRJJI74B943XSQ,F-150,Truck,2019,Ford,4,101100,6989,Sold,8922.96
2AUFN7ZUD7T61Z4DT,Gladiator,Hatchback,2018,Jeep,4,108195,7275,Reserved,9328.38
YUJUM2DMS7KFY0LIY,Veloster,Truck,2023,Hyundai,1,64518,20008,Available,25866.69
BF53C6OIAA9P73DMU,5 Series,Coupe,2017,BMW,1,103011,5876,Available,6572.37
3V6LIDULP2I2DILWK,Tiguan,Sedan,2023,Volkswagen,3,27782,26942,Reserved,32050.65
W5CEILQTXDA6F7UFW,Golf,Minivan,2024,Volkswagen,1,56281,21311,Available,24059.42
BRWQG3RJEZMNKA4NY,5 Series,Coupe,2020,BMW,1,30322,18904,Sold,24873.43
Y96E8MS0NAR9KANOW,R8,Coupe,2023,Audi,3,17071,25371,Sold,31861.52
8EQ8X0P9Y1B3JKIXD,Impreza,Sedan,2021,Subaru,1,90465,11844,Available,14008.19
YCOLSHHX6CCGDM49G,Tucson,Sedan,2023,Hyundai,3,113488,7266,Reserved,8108.05
KXX5R8KJ08A1JVMO8,AMG GT,Hatchback,2020,Mercedes-Benz,2,50398,17882,Available,21060.45
SYA6S882STEIKO7ZP,CX-9,SUV,2021,Mazda,3,77003,13178,Sold,15567.12
CM7O6N5Y7LVLJBP2O,Malibu,Truck,2015,Chevrolet,3,93152,6353,Reserved,8147.1
0NO78BWLQFMLSHVBY,Titan,SUV,2015,Nissan,1,110885,5000,Reserved,6296.95
7H3OUAYF5UMRRTFIF,Gladiator,Minivan,2016,Jeep,4,10432,14900,Reserved,19694.87
EYJL298THTYQGG32P,Gladiator,Truck,2021,Jeep,2,69707,15861,Reserved,19319.55
KPHJAFSTVL2FHQEUF,Cybertruck,Hatchback,2015,Tesla,1,30872,11768,Reserved,13296.65
FVVC3Z4DLS47SOELF,Golf,Truck,2015,Volkswagen,4,41160,13687,Reserved,17496.25
W6QL5E8W8AZFUCT96,Tucson,SUV,2021,Hyundai,3,75498,14145,Reserved,18249.83
1HTLUXPNX3B61RK7M,Golf,Minivan,2016,Volkswagen,2,55267,9234,Sold,11453.11
SS06JWNTFA8WV124B,NSX,Coupe,2021,Honda,4,89766,11474,Sold,14832.92
ZG45Y03G2CLJFUI30,Tiguan,SUV,2023,Volkswagen,2,45540,19940,Reserved,24395.57
97RAB22OCJUFBT656,Stinger,Hatchback,2020,Kia,1,117575,5880,Sold,7236.42
OMQ7KDF41VEPD5J8J,NSX,Coupe,2019,Honda,4,86135,12006,Reserved,14489.86
Y4T816WLB3O6QBM0G,X3,Sedan,2017,BMW,2,119730,5000,Sold,5531.77
W3JUU4SF1ZKY26HMC,Model X,Sedan,2023,Tesla,2,55686,19129,Available,21557.86
ZL3BTLVIBHU7TU8XI,Tacoma,SUV,2023,Toyota,1,11457,32665,Available,36188.16
MR3CFRQ1BBPIVWX97,Legacy,Sedan,2021,Subaru,1,19393,20259,Sold,25508.16
3XXTT8F2D6FX6SPUW,Atlas,Sedan,2024,Volkswagen,4,13940,23061,Sold,27179.44
ICER29U5P7NI8RT75,Tahoe,Sedan,2019,Chevrolet,3,80596,11519,Reserved,14135.46
YK367D3FWPH662C79,Santa Fe,SUV,2015,Hyundai,3,48052,14235,Reserved,18888.3
N1VSQ51UFZ5I8NQJO,Veloster,Minivan,2023,Hyundai,4,63014,17297,Available,20104.7
VHM94HJMCGVO1HGS4,Z4,Minivan,2016,BMW,3,106717,5424,Sold,6522.88
3L7YN021J5GYIA92P,Grand Cherokee,SUV,2019,Jeep,3,116492,6377,Sold,8219.24
9Z5VKYPE0CD20XGG6,Camaro,Minivan,2019,Chevrolet,3,112409,6961,Available,8055.27
1WRAF5880ZK34SBW9,GT-R,Coupe,2021,Nissan,3,18049,21823,Reserved,24425.28
YEM6KQ4W4VY0LD63H,MX-5 Miata,Minivan,2015,Mazda,2,56163,12599,Reserved,14771.54
Q1DUPQUN6CIXECQW7,Malibu,Sedan,2019,Chevrolet,2,105679,6924,Sold,7895.47
7Q9EVZC83L55D85K4,R8,Coupe,2015,Audi,2,94016,5871,Reserved,7822.66
3JMKTD4V4P3GLINDC,Gladiator,Truck,2018,Jeep,4,84471,8798,Sold,11455.26
H7HW52UMUQYOERM4A,Stinger,Minivan,2015,Kia,3,106379,5370,Reserved,6757.34
HOTX8ZQV8PH3JF5QH,Golf,Minivan,2019,Volkswagen,4,14773,21296,Sold,28065.26
6J0USRLT5IJD7DSSY,K5,SUV,2018,Kia,4,41801,16696,Sold,21720.13
2TE1YCBNQ12HKX477,Stinger,Minivan,2018,Kia,2,36929,15790,Reserved,18105.49
HQMFJ8ORQGQUV8CPC,Equinox,Truck,2022,Chevrolet,2,119392,5800,Available,7674.21
L0THSVD71LEAF3405,Golf,Truck,2021,Volkswagen,3,61821,17159,Reserved,21188.54
RNHWLDARQ03M08QZ2,R8,Minivan,2019,Audi,3,73231,14208,Reserved,18496.83
07IN5ACA0A4RPQHB0,Golf,Minivan,2019,Volkswagen,3,115443,6310,Sold,8354.58
1PQGG47QPYW8B7ZYA,K5,Sedan,2016,Kia,1,33517,13151,Reserved,15511.62
CR1IX14YVEUH20XQD,Stinger,Minivan,2021,Kia,3,114225,5000,Sold,5637.56
JD264KMFVHM2SU61Q,Telluride,SUV,2020,Kia,3,18697,20567,Available,23795.69
DSQ6AGGBGVCFZWAZ2,K5,SUV,2024,Kia,2,62913,17053,Sold,20579.17
DQ3UDH4WEHWX05OXJ,GT-R,Hatchback,2020,Nissan,2,44388,20258,Reserved,26426.64
NWFOTE3K0P8TVSPVQ,Mustang,Sedan,2019,Ford,4,81806,11220,Sold,14756.35
X2CD6HCCO1TMOJJVS,Malibu,Sedan,2016,Chevrolet,1,39267,11429,Available,12591.76
IZV4CAAPW1G5GY8SM,Veloster,Truck,2016,Hyundai,4,10170,17022,Reserved,20897.69
G6GO8GV7FHG6CERJ0,NSX,Minivan,2017,Honda,2,10793,15758,Reserved,18978.19
JB3CGO0VGNCUA7ENU,C-Class,Coupe,2024,Mercedes-Benz,1,73146,16423,Reserved,18977.22
KHL93XMBACCE2PAU8,Stinger,Minivan,2016,Kia,1,23997,14916,Reserved,16854.58
RSFE78M5J05RYMN2V,MX-5 Miata,Truck,2019,Mazda,3,72836,11045,Reserved,13081.74
7L5G7KCQQ92N1F3ZN,Veloster,Coupe,2022,Hyundai,1,43072,19453,Sold,25983.91
KIAABKUWKIZVXGMNT,Gladiator,Minivan,2019,Jeep,4,37378,20590,Available,24312.69
9SX5PNJ6OISJBNCP3,Camaro,Hatchback,2017,Chevrolet,4,21145,12361,Available,15200.29
WGLJC6367Q8HT9XAG,NSX,Minivan,2016,Honda,2,109395,5000,Available,6378.77
R42S7GB7RB7DFBBK8,Golf,Minivan,2016,Volkswagen,4,119757,5000,Reserved,5954.54
AIBIHKC55C3VJMHGB,Jetta,Sedan,2018,Volkswagen,3,62233,15622,Reserved,20979.49
TA6KYJV4ZN63F5YHJ,Stinger,Hatchback,2019,Kia,1,104369,8667,Sold,11619.08
G1I4MYM0PPVGKKL3K,X3,Coupe,2016,BMW,2,12997,15378,Sold,17883.78
F4II1CR31G3V6BHRT,MX-5 Miata,Hatchback,2021,Mazda,3,65272,12693,Available,15540.19
MUQL23ZXBZAYME5RN,Stinger,Minivan,2020,Kia,3,95354,8996,Reserved,10572.28
ODSJQEU7X0U9477ZZ,Sentra,Sedan,2023,Nissan,4,91570,10996,Available,12878.63
EMULWH7TC5FXNK9X4,R8,Hatchback,2022,Audi,3,19282,21350,Available,23681.88
SE0Z67HM6OD9944TP,Stinger,Truck,2021,Kia,3,34736,16200,Sold,20288.74
PMU8PYCN439P1AUMN,GT-R,Minivan,2023,Nissan,3,17977,31568,Available,38691.94
KIYNZKL64KIW8EBG7,Cybertruck,Truck,2018,Tesla,2,85178,11927,Reserved,13273.2
SRVS34E54CC5PEUL2,R8,Hatchback,2022,Audi,4,78046,12714,Available,14871.08
WDDEHFHLJ5P1GTRCV,GLE,Coupe,2018,Mercedes-Benz,1,63954,16585,Reserved,22009.4
OWJ706YC0NRO5S1VE,Sentra,Truck,2023,Nissan,3,82920,11858,Reserved,13753.98
X0SUBE4VA07YU19W2,Gladiator,Hatchback,2024,Jeep,4,17959,26405,Reserved,30001.99
1G5GI14GIEBPHX21M,AMG GT,Minivan,2019,Mercedes-Benz,2,78554,11829,Available,14459.33
BFSJIWS709C8G89AJ,Silverado,Coupe,2024,Chevrolet,1,96627,8875,Reserved,11949.41
VVWOMJKMBYA2TLQFP,Supra,Coupe,2022,Toyota,3,47569,18464,Available,21427.73
WPR3QAFA1I6CXLCQX,Stinger,Hatchback,2015,Kia,2,16701,15338,Reserved,19449.1
HZPGLSTFFZ9VMF9E7,Veloster,Minivan,2016,Hyundai,2,34729,14722,Reserved,18997.34
KV73H807E8LN97HFD,Cybertruck,Coupe,2023,Tesla,3,56469,21379,Available,24787.01
MBOXZBEPDA32W1CA9,Stinger,Coupe,2022,Kia,2,98408,8572,Available,10989.77
TZNYG5K2WLBU19RYG,GT-R,Minivan,2015,Nissan,2,103604,5000,Sold,5959.73
RJCZQS0FBL4SVNVPY,Rogue,Sedan,2024,Nissan,2,10321,33421,Sold,42046.17
JHC3PQMDKBUGNCK2P,Supra,Minivan,2019,Toyota,2,36094,20619,Available,25946.59
NRZBDW59UMFRQUDLT,3 Series,Coupe,2017,BMW,1,77247,7245,Reserved,8939.92
0BA51RMNVP0XC52CE,Stinger,Minivan,2023,Kia,1,69506,15196,Available,17058.61
S7GTZW8CVDQ1QV2JC,Cybertruck,Coupe,2022,Tesla,2,49541,13987,Reserved,18306.54
CV1ORHYZ17I332QVA,AMG GT,Hatchback,2020,Mercedes-Benz,1,94764,10193,Available,12029.73
9U64RCOA0C2PYZYAE,NSX,Minivan,2016,Honda,3,84876,6197,Reserved,7105.66
3NVKGAS0KVDPOAU1S,GLE,SUV,2020,Mercedes-Benz,1,54386,13904,Reserved,15436.13
HNME4CZSI97CQP968,Cybertruck,Minivan,2024,Tesla,3,110974,6468,Sold,8070.27
ATY7BV992C0HWUZW7,Gladiator,Sedan,2019,Jeep,2,95556,10273,Available,13040.45
I2K9SE4A46XQFVGZ4,Equinox,Sedan,2020,Chevrolet,1,67226,12334,Available,13618.55
VN9O9GZKR3DAGDC9Y,CR-V,Truck,2021,Honda,1,119775,5000,Available,6140.12
X3D4RCAUG2JG0ZNRL,Prius,SUV,2024,Toyota,2,27180,20137,Available,23290.94
V5DWBWX9EBAKVD2JU,Z4,Minivan,2022,BMW,1,82379,11244,Available,14181.98
TKJWX5ZMKVU1AJTOC,Elantra,SUV,2021,Hyundai,4,71536,10500,Available,12007.71
NYNT184JW7FVF4UTA,Silverado,Truck,2022,Chevrolet,3,100303,7993,Sold,10172.97
J0XS3ZS4946NYH4HD,AMG GT,Minivan,2021,Mercedes-Benz,1,66846,13361,Available,15988.89
U8HU46AG4S4PPFCQS,Supra,Hatchback,2018,Toyota,1,117632,6008,Sold,8015.77
FZC8NZ78FY7CWBFU0,Highlander,Truck,2022,Toyota,4,91497,8767,Available,9945.11
JRSU3CYXV8W8214QH,Stinger,Minivan,2017,Kia,3,55116,8996,Available,10662.66
1H951J0UPN4UV31QF,Corvette,Sedan,2015,Chevrolet,1,5618,13819,Available,15592.92
CR13XD64PASENGAER,Veloster,Truck,2015,Hyundai,3,53615,12427,Reserved,16542.49
VHJ7V26NUN7I8UZ6O,Accord,Truck,2019,Honda,3,8805,24560,Sold,32402.86
8RRLUV1EB5O7QI0LS,Silverado,Sedan,2022,Chevrolet,4,108543,6739,Reserved,7847.47
0QISAWS48UET4C9Z2,Cybertruck,Coupe,2015,Tesla,1,109678,5000,Available,6324.98
I6K19LZD5NZZI4OG5,Prius,Sedan,2016,Toyota,1,27767,13041,Sold,17009.45
CRABE3YVOHIBHZJTB,Camaro,Minivan,2019,Chevrolet,1,115844,5851,Sold,7248.22
Y3S07BXVEXM6K0BCK,Cybertruck,Hatchback,2016,Tesla,1,21645,13420,Reserved,16538.98
O6F4ZTPKTK7756K2M,Golf,Hatchback,2019,Volkswagen,1,75677,12750,Available,14795.9
0S9QEZQVVNYDE7UJL,Impreza,SUV,2022,Subaru,4,40837,20716,Reserved,23269.78
TC975AAX1ISEFG84Q,AMG GT,Minivan,2017,Mercedes-Benz,2,111068,5000,Available,6621.52
0U3SIF4HUAQXQ7ZYO,Tacoma,Sedan,2021,Toyota,3,20831,19510,Available,25852.79
U3PCY3TVHZ50DBQOE,Impreza,SUV,2017,Subaru,3,66697,8999,Available,11323.22
MB59UP3DHAU9N5ER2,R8,Minivan,2016,Audi,2,50612,9741,Reserved,11540.72
13G4Z13P78TVIH5WI,Camaro,Minivan,2018,Chevrolet,4,60507,12412,Available,14736.8
XR4I5FDOPDWUSX7XP,Golf,Hatchback,2018,Volkswagen,3,11252,20682,Available,26503.75
RQNM1MD9FBK3TAX4F,MX-5 Miata,Coupe,2024,Mazda,2,30432,20356,Sold,26956.99
JUKSO5242Y3A61YFM,BRZ,Minivan,2017,Subaru,2,32834,13616,Sold,17997.24
HEIKJK673KF0ACVZB,Civic,Sedan,2021,Honda,1,31754,16710,Sold,21638.93
9RPFSOL4AO3M9RZ4W,Silverado,Sedan,2015,Chevrolet,4,110906,5289,Available,6666.83
9CH71G6CB7JZ4OHC1,Veloster,Coupe,2019,Hyundai,2,8341,22174,Reserved,24857.83
V4MULYEYMHDADNRT2,AMG GT,Hatchback,2024,Mercedes-Benz,4,60039,20700,Reserved,23606.43
JWGXAAO72ZRVDTBA6,Veloster,Hatchback,2024,Hyundai,1,63542,14720,Reserved,19498.68
ETNPHPAOLCO9IZ43U,Gladiator,Coupe,2018,Jeep,2,11501,18474,Available,23122.19
17AQ8PSS53SUUF8XV,CX-9,Sedan,2016,Mazda,1,30372,14540,Available,16027.43
FEWGGWOJNZMEOT0CM,Forte,Sedan,2020,Kia,1,78714,12697,Sold,14288.8
NKQ6B8W4AVFNE1PCH,Sentra,Sedan,2023,Nissan,3,39274,22574,Sold,28575.87
JI9CUIG655H07M12E,Veloster,Hatchback,2020,Hyundai,4,113495,5242,Available,5772.83
7DDGYRKOZA5JG44U9,F-150,Truck,2018,Ford,3,107790,8204,Available,9354.22
54JL0DW6JUJ37WETI,Golf,Hatchback,2021,Volkswagen,3,11561,22613,Reserved,27976.43
3SE8GIWQG4O0IHTE2,BRZ,Coupe,2023,Subaru,2,15761,27881,Sold,35491.78
WSY3T1ZSQCG03IY5W,F-150,Sedan,2023,Ford,1,46711,20279,Sold,25612.18
VOUMGGH3KZO5HR6PW,Veloster,Hatchback,2024,Hyundai,4,75982,12761,Available,14752.58
OSJ7N2QLYJXYQBIDW,Stinger,Truck,2021,Kia,2,89404,9531,Reserved,12181.05
66WB3BLTD8SULKWVQ,Equinox,Truck,2018,Chevrolet,2,6729,25114,Sold,29114.97
LA4LH8Q0ZNJP4WLMU,CX-5,SUV,2016,Mazda,1,42945,14777,Available,17456.81
J2VBEB16KMYUHMNZD,Camaro,Hatchback,2020,Chevrolet,1,89627,10743,Available,13822.19
KK84XB701PO1A7F7P,Mazda3,Sedan,2017,Mazda,1,14406,17874,Available,22564.28
09ULJ67U6XGZHNDGA,Gladiator,Minivan,2017,Jeep,2,46696,14441,Reserved,18951.01
9J0AIJR59317O8CQJ,AMG GT,Hatchback,2019,Mercedes-Benz,4,73322,13973,Available,17667.51
MNGFHPGG68V4WGTOT,Stinger,Hatchback,2015,Kia,4,39950,14812,Reserved,18397.65
FMMSTXAEP2PQCTU4X,Supra,Minivan,2024,Toyota,2,46279,23851,Sold,26794.66
795HFQOD6DBQ5UT8G,Santa Fe,Sedan,2021,Hyundai,3,75223,12249,Reserved,14599.94
82KNJWDNMMBZEX2PD,NSX,Hatchback,2018,Honda,4,19077,25397,Sold,29620.54
QAVLV3B96IX5HTZQ5,5 Series,Sedan,2019,BMW,3,86663,10869,Available,12618.88
731AJLFTMPCH0DBEI,Model Y,Sedan,2018,Tesla,3,96223,9152,Sold,12293.45
WCJXWM355TG8E4LGT,Atlas,Sedan,2019,Volkswagen,1,112017,7432,Reserved,8905.58
LXQR66K2LR533O6MJ,BRZ,Hatchback,2019,Subaru,1,115403,5000,Reserved,6615.06
785LM7DAVEK9PFA9U,GT-R,Coupe,2018,Nissan,3,109697,7968,Reserved,10022.03
9WI402G05A6F1FV9O,Gladiator,Minivan,2024,Jeep,4,109667,8215,Reserved,10668.84
R975LBKNGUG94E3DK,X5,Coupe,2020,BMW,1,40865,16028,Available,19644.87
EDI5FKR0BIQMTYNEM,Cybertruck,Coupe,2018,Tesla,3,42819,14843,Sold,18468.05
1TTYKMBGP0ENQIHSQ,3 Series,Coupe,2015,BMW,1,109675,5000,Sold,6115.65
4I8IPJ5MRGGWK64HF,GT-R,Minivan,2015,Nissan,3,107728,5292,Reserved,6079.51
ULWV5CWB4NAM3F9TB,Gladiator,Coupe,2022,Jeep,4,116547,5449,Reserved,6978.06
JMXJRSVJSUH301PMO,Supra,Hatchback,2015,Toyota,2,14966,13913,Sold,16280.9
HIAM279YNXDFESRTK,BRZ,Hatchback,2015,Subaru,4,99797,5502,Sold,6085.65
192UHV9JI5H95ST1D,Rogue,Sedan,2021,Nissan,2,76582,11170,Reserved,14089.48
BCI1VN4MDZY5691F2,Forte,SUV,2024,Kia,3,112178,8992,Available,10289.34
I15651JEFGH14MSJB,Veloster,Hatchback,2015,Hyundai,4,109339,5085,Sold,6789.06
EKH08H3Z8ZAU23QJN,Golf,Coupe,2022,Volkswagen,2,17839,18940,Reserved,25350.85
5MU2GL7DZHBM1C3HV,Explorer,Sedan,2024,Ford,4,96922,9267,Reserved,12313.21
E5EWYU7ZAPRR5K0CY,Z4,Hatchback,2023,BMW,2,44641,17298,Reserved,20628.55
7AGBLBB5Z52E0540O,Tahoe,Coupe,2016,Chevrolet,3,115359,5000,Sold,5519.32
W6WC461E4330Z7IJT,Forte,SUV,2017,Kia,2,89091,8304,Available,11061.59
866EL8N9MINV4QTOF,Escape,SUV,2022,Ford,2,47717,20401,Available,24624.95
IGSUBX7MIRTKYXCY7,R8,Minivan,2020,Audi,4,16307,22596,Available,30316.23
PTE2SOK03KI0FVRCP,Bronco,Minivan,2015,Ford,1,47259,10806,Reserved,14489.82
ZBOCNN5A0BZQAJ6NH,GT-R,Minivan,2017,Nissan,2,49848,10419,Available,13682.78
643EQPAOVKDXK32L3,Focus,Sedan,2017,Ford,3,96522,7381,Reserved,8662.43
DMV8BM7D8ZSI179YR,Highlander,Truck,2021,Toyota,2,77905,10678,Reserved,12773.82
DQF83YLFIF9FYMPRE,Stinger,Coupe,2023,Kia,1,98605,11026,Sold,14474.76
7O8P3TDC9TO7S0KLB,Veloster,Truck,2023,Hyundai,1,105442,9010,Available,10624.87
D3WCB712LZ9C9EY4I,Grand Cherokee,SUV,2021,Jeep,1,57429,16881,Reserved,19284.4
C55KUH25XMDXBJQRE,BRZ,Coupe,2017,Subaru,3,96038,6960,Sold,8624.83
OLCJJXR4BES0O3LIM,K5,SUV,2022,Kia,2,56755,16001,Available,21345.95
XNBJSA18XSPGRDL8T,BRZ,Minivan,2021,Subaru,2,61368,13865,Reserved,17664.11
8G9QS6KGJWL496LO9,Santa Fe,SUV,2018,Hyundai,3,69831,11415,Sold,14183.31
80CRU8BV0R4OMGGWS,CR-V,Truck,2016,Honda,3,15981,15704,Available,17655.91
TO61QSRQ0AZA56NS3,Cybertruck,Minivan,2020,Tesla,4,23630,20633,Reserved,25868.66
MQDRJ6TMG7GM7ZX31,Forester,SUV,2015,Subaru,1,83126,7981,Available,10754.5
LFSMCY257JUFXM9N5,Gladiator,Hatchback,2015,Jeep,2,59518,8640,Available,9806.58
Z902ZBEYCLZG0F66X,Jetta,Sedan,2018,Volkswagen,2,99890,8299,Available,10204.3
UY2AQFB97R5HNZPNE,Gladiator,Sedan,2020,Jeep,4,29424,17261,Available,22773.18
CQNMKPAREX8Q8NY1W,R8,Coupe,2016,Audi,4,39438,14811,Reserved,19034.98
